NRE No,Owner,Request date.,Item ,Code item,Aplication reason / Area,Operation,Customizer,Brand ,Model,Picture,Status,New or replace,Qty required,Quotation Unit Price (MX),Total amount (MX),MX total + IVA,Amount (USD),Total + IVA USD,Owner approval,MFG approval date,Purchase Format,Status,Arrived date
ZL25060601,Jonas Navarro,06/06/2025,TSC MX640P Printer Head,N/A,PE,Maintenance,Grupo Etytec,TSC,MX640P,,Approved,Service,1,20646.32,20646.32,23949.7312,#REF!,#REF!,Liam / Kevin,06/04/2025,Yes,Arrived,07/01/2025
ZL25061001,Jonas Navarro,06/10/2025,Ruler spare parts,N/A,POC,Maintenance,"Monolith Electric (Changzhou) Co.,Ltd.",Monolith Electric,MIT-2033,,Approved,New,5,N/A,N/A,N/A,43.1034482758621,50,Liam / Kevin,06/10/2025,Yes,Arrived,07/01/2025
ZL25061002,Jonas Navarro,06/10/2025,Shipping and Handling,N/A,POC,Maintenance,"Monolith Electric (Changzhou) Co.,Ltd.",,,,Approved,New,1,N/A,N/A,N/A,38.7931034482759,45,Liam / Kevin,06/10/2025,Yes,Arrived,07/01/2025
ZL25061201,Jonas Navarro,06/12/2025,Cable cutting corrective maintenance,N/A,Cable Cutting,Corrective Maintenance,MAKINE,-,-,-,Approved,Service,1,pending,3230,3746.8,#REF!,#REF!,Liam / Kevin,06/12/2025,Yes,Arrived,07/01/2025
ZL25070701,Jesus Muro,07/07/2025,Vernier,DT3968,Calibration,All areas,Micropresicion,MITUTOYO,"CD-8""ASX",-,Approved,Service,1,pending,3230,3746.8,25,29,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070702,Jesus Muro,07/07/2025,Standar Weigth,DU7310,Calibration,Measurement,Microprecision,REMEX,CLASS M2,,Approved,Service,1,751.796172,751.796172,872.083559519999,40,46.4,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070703,Jesus Muro,07/07/2025,Standar Weigth,DU7311,Calibration,Measurement,Microprecision,REMEX,CLASS M2,,Approved,Service,1,751.796172,751.796172,872.083559519999,40,46.4,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070704,Jesus Muro,07/07/2025,Standar Weigth,DU7312,Calibration,Measurement,Microprecision,REMEX,CLASS M2,,Approved,Service,1,751.796172,751.796172,872.083559519999,40,46.4,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070705,Jesus Muro,07/07/2025,Standar Weigth,DU7313,Calibration,Measurement,Microprecision,REMEX,CLASS M2,,Approved,Service,1,751.796172,751.796172,872.083559519999,40,46.4,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070706,Jesus Muro,07/07/2025,Standar Weigth,DU7314,Calibration,Measurement,Microprecision,REMEX,CLASS M2,,Approved,Service,1,751.796172,751.796172,872.083559519999,40,46.4,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070707,Jesus Muro,07/07/2025,Standar Weigth,DU7315,Calibration,Measurement,Microprecision,REMEX,CLASS M2,,Approved,Service,1,751.796172,751.796172,872.083559519999,40,46.4,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070708,Jesus Muro,07/07/2025,Standar Weigth,DU7316,Calibration,Measurement,Microprecision,REMEX,CLASS M2,,Approved,Service,1,751.796172,751.796172,872.083559519999,40,46.4,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070709,Jesus Muro,07/07/2025,Scale,EG3412,Calibration,Measurement,Microprecision,Ohaus,Defender T32XW,,Approved,Service,1,3477.0572955,3477.0572955,4033.38646278,185,214.6,Liam / Kevin,07/07/2025,Yes,Arrived,08/07/2025
ZL25070710,Jesus Muro,07/07/2025,Sensor H & T ,new,Calibration,Measurement,Microprecision,ASAIR,AM2315C,,Approved,Service,1,1597.5668655,1597.5668655,1853.17756398,85,98.6,Liam / Kevin,07/07/2025,Yes,Arrived,08/07/2025
ZL25070711,Jesus Muro,07/07/2025,Sensor H & T ,new,Calibration,Measurement,Microprecision,ASAIR,AM2315C,,Approved,Service,1,1597.5668655,1597.5668655,1853.17756398,85,98.6,Liam / Kevin,07/07/2025,Yes,Arrived,08/07/2025
ZL25070712,Jesus Muro,07/07/2025,Sensor H & T ,new,Calibration,Measurement,Microprecision,ASAIR,AM2315C,,Approved,Service,1,1597.5668655,1597.5668655,1853.17756398,85,98.6,Liam / Kevin,07/07/2025,Yes,Arrived,08/07/2025
ZL25070713,Jesus Muro,07/07/2025,Sensor H & T ,new,Calibration,Measurement,Microprecision,ASAIR,AM2315C,,Approved,Service,1,1597.5668655,1597.5668655,1853.17756398,85,98.6,Liam / Kevin,07/07/2025,Yes,Arrived,08/07/2025
ZL25070714,Jesus Muro,07/07/2025,Sensor H & T ,new,Calibration,Measurement,Microprecision,ASAIR,AM2315C,,Approved,Service,1,1597.5668655,1597.5668655,1853.17756398,85,98.6,Liam / Kevin,07/07/2025,Yes,Arrived,08/07/2025
ZL25070715,Jesus Muro,07/07/2025,Sensor H & T ,new,Calibration,Measurement,Microprecision,ASAIR,AM2315C,,Approved,Service,1,1597.5668655,1597.5668655,1853.17756398,85,98.6,Liam / Kevin,07/07/2025,Yes,Arrived,08/07/2025
ZL25071101,Juan Mata,07/11/2025,Hub USB 3.0 ,N/A,Improve older laptops performance,Laptops Users,"INNTELCO
JES-XINYA25-011",UGREEN,"Macho - 3x USB 3.0, 1x RJ-45, 1x Micro USB 2.0, 625Mbit/s, Gris",,Approved,New,5,521.59,2607.95,3025.222,#REF!,#REF!,Liam / Kevin,07/11/2025,Yes,Arrived,07/25/2025
ZL25071102,Juan Mata,07/11/2025,Adaptador HDMI,N/A,Improve older laptops performance,Laptops Users,"INNTELCO
JES-XINYA25-011",Manhattan,"Macho - VGA Hembra, 22cm, Negro",,Approved,New,5,124.92,624.6,724.536,#REF!,#REF!,Liam / Kevin,07/11/2025,Yes,Arrived,07/25/2025
ZL25071103,Juan Mata,07/11/2025,SSD,N/A,Improve older laptops performance,Laptops Users,"INNTELCO
JES-XINYA25-011",Kingston,"A400, 960GB, SATA III, 2.5'', 7mm",,Approved,New,5,1079.32,5396.6,6260.056,#REF!,#REF!,Liam / Kevin,07/11/2025,Yes,Arrived,07/25/2025
ZL25071104,Juan Mata,07/11/2025,RAM,N/A,Improve older laptops performance,Laptops Users,"INNTELCO
JES-XINYA25-011",Kingston,"Memoria RAM Kingston FURY Impact DDR4, 3200MHz, 16GB, Non-ECC, CL20, SO-DIMM, XMP",,Approved,New,5,1227.86,6139.3,7121.588,#REF!,#REF!,Liam / Kevin,07/11/2025,Yes,Arrived,07/25/2025
ZL25071501,Jonas Navarro,07/15/2025,Maintenance Corner cutting machine,N/A,POC,Maintenance,MAKINE,-,-,,Approved,Service,1,14238,14238,16516.08,#REF!,#REF!,Liam / Kevin,07/15/2025,Yes,Arrived,09/01/2025
ZL25071801,Cesar Gutierrez,07/18/2025,Toner for laser printer,N/A,Production,Maintenance,IKP,Interkey,TN920XL,,Approved,Pcs,10,1920,19200,22272,#REF!,#REF!,Liam / Kevin,07/18/2025,Yes,Arrived,07/29/2026
ZL25071802,Cesar Gutierrez,07/18/2025,Original Unit drum for laser printer,N/A,Production,Maintenance,INNTELCO,Brother,DR920,,Approved,Pcs,5,2932.92,14664.6,17010.936,#REF!,#REF!,Liam / Kevin,07/18/2025,Yes,Arrived,07/28/2025
ZL25080401,Cesar Gutierrez,08/04/2025,"Rocket Sealed Air Equipment
July & August",N/A,POC,Packaging,Empaques Empil Ilimitados,N/A,N/A,N/A,Approved,Service,2,3000,6000,6960,#REF!,#REF!,Liam / Kevin,08/04/2025,Yes,Arrived,08/01/2025
ZL25080402,Cesar Gutierrez,08/04/2025,Cotton cleaner for ONT,N/A,ATO,ONT,OKNALB,N/A,hisopos co2,,Approved,Pcs,2,377,754,874.64,#REF!,#REF!,Liam / Kevin,08/04/2025,Yes,Arrived,08/20/2025
ZL25080403,Cesar Gutierrez,08/04/2025,Optical fiber cleaning kit,N/A,ATO,ONT,OKNALB,N/A,Generic,,Approved,Pcs,1,879,879,1019.64,#REF!,#REF!,Liam / Kevin,08/04/2025,Yes,Arrived,10/15/2025
ZL25080404,Jonas Navarro,08/04/2025,Aluminum Lifter maintenance,N/A,ATO,Maintenance,PSS,N/A,N/A,,Approved,Service,1,4675,4675,5423,#REF!,#REF!,Liam / Kevin,08/04/2025,Yes,Arrived,08/22/2025
ZL25081201,Jesus Muro,08/12/2025,Vernier,N/A,ATO,Calibration,Micropresicion,MITUTOYO,"CD-8""ASX",,Approved,Service,1,#REF!,#REF!,#REF!,25,29,Liam / Kevin,08/12/2025,Yes,Arrived,09/11/2025
ZL25081202,Jesus Muro,08/12/2025,Three-path diode power sensor,N/A,ATO,Calibration,Micropresicion,Rohde & Schwarz,NRPS8,,Approved,Service,1,#REF!,#REF!,#REF!,265,307.4,Liam / Kevin,08/12/2025,Yes,Arrived,
ZL25081203,Jesus Muro,08/12/2025,Electro-filedmeter,N/A,ATO,Calibration,Micropresicion,KLEINWACHETER,EFM 022,,Cancelled,Service,1,#REF!,#REF!,#REF!,145,168.2,Liam / Kevin,08/12/2025,,Arrived,
ZL25081801,Jonas Navarro,08/18/2025,"Grinder cutting discs 4 1/2""",A4-3310,ENGINEERING,Process,InKar,AUSTROMEX,N/A,,Approved,New,25,21.11,527.75,612.19,#REF!,#REF!,Liam / Kevin,08/19/2025,Yes,Arrived,11/10/2025
ZL25082001,Jesus Muro,08/20/2025,"Tapete Adhesivo Desechable,Az,24plAn,PQ4",N/A,ATO,Process,Grainger,N/A,N/A,,Approved,New,4,2254.5,9018,10460.88,479.332924201226,556.026192073422,Liam / Kevin,08/20/2025,Yes,Arrived,10/29/2025
ZL25090101,Juan Mata,09/01/2025,Hard Drive Disk for Server,N/A,Information back up,IT,IKP,Lenovo,"7XB7A00043 3.5"", 4TB, SAS, 7200RPM, 12 Gbit/s",,Approved,Replace,5,6285,31425,36453,1686.36819639983,1956.18710782381,Liam / Kevin,09/01/2025,Yes,Arrived,09/26/2025
ZL25090102,Juan Mata,09/01/2025,No Break UPS for IDF,N/A,IDF,IT,IKP,CYBERPOWER,OLS3000RT2UA,,Approved,Replace,1,19299,19299,22386.84,1035.64740882483,1201.35099423681,Liam / Kevin,09/01/2025,Yes,Arrived,09/10/2025
ZL25090201,Juan Mata,09/02/2025,No Break UPS for IDF,N/A,IDF,IT,IKP,CYBERPOWER,PR2200RT2U,,Approved,Replace,1,18430,18430,21378.8,989.014028946664,1147.25627357813,Liam / Kevin,09/19/2025,Yes,Arrived,09/26/2025
ZL25090901,Jonas Navarro,09/09/2025,Corrective Maintenance for Electric Stacker,N/A,POC,POC,NOBLEMAQ,NOBLELIFT,PSE10M,,Approved,Service,1,6412.25,6412.25,7438.21,#REF!,#REF!,Liam / Kevin,09/09/2025,Yes,Arrived,09/29/2025
ZL25091101,Jonas Navarro,09/09/2025,Corrective Maintenance UV Printer,N/A,ATO,ATO,IndigoColor,N/A,SINGMAKER,,Approved,Service,1,#REF!,#REF!,#REF!,144,167.04,Liam / Kevin,09/09/2025,Yes,Arrived,09/29/2025
ZL25091501,Cesar Gutierrez,09/15/2025,"Rocket Sealed Air Equipment
July & August",N/A,POC,Packaging,Empaques Empil Ilimitados,N/A,N/A,,Pending,Service,2,3000,6000,6960,318.917447905007,369.944239569809,Liam / Kevin,08/04/2025,Yes,Arrived,09/10/2025
ZL25091701,Jonas Navarro,09/17/2025,Hidraulic jack 5 TON,N/A,Cable Cutting,WH,InKar,MIKELS,N/A,,Approved,Replace,1,1294.84,1294.84,1502.0144,#REF!,#REF!,Kevin,09/17/2025,Yes,Arrived,10/01/2025
ZL25100201,Jonas Navarro,10/02/2025,12V Battery for aluminum lifer,N/A,ATO,ATO,PSS,N/A,N/A,,Approved,Maintenance,1,3500,3500,4060,#REF!,#REF!,Kevin,10/03/2025,Yes,Arrived,10/23/2025
ZL25100202,Jonas Navarro,10/02/2025,Cable Lifter Maintenance,N/A,POC,POC,PSS,N/A,N/A,,Approved,Maintenance,2,4675,9350,10846,#REF!,#REF!,Kevin,10/03/2025,Yes,Arrived,10/23/2025
ZL25100203,Jonas Navarro,10/02/2025,Turn Over Machine Maintenance,N/A,ATO,ATO,MAKINE,N/A,N/A,,Approved,Maintenance,1,38070,38070,44161.2,#REF!,#REF!,Kevin,10/03/2025,Yes,Arrived,10/25/2025
ZL25100204,Jonas Navarro,10/02/2025,Manual cable winder Maintenance,N/A,Cable Cutting,WH,MAKINE,N/A,N/A,,Approved,Maintenance,1,8130,8130,9430.8,#REF!,#REF!,Kevin,10/03/2025,Yes,Arrived,10/21/2025
ZL25100801,Jesus Muro,10/08/2025,"Uline Vinyl Anti-Static Message Tape - 3"" x 60'",N/A,ATO,ATO,Uline,N/A, S-18436,,Approved,New,1,484,484,561.44,#REF!,#REF!,Kevin,10/08/2025,Yes,Arrived,11/10/2025
ZL25100802,Jesus Muro,10/08/2025,Shipping and Handling,N/A,ATO,ATO,Uline,N/A,N/A,,Approved,New,1,210.54,210.54,244.2264,#REF!,#REF!,Kevin,10/08/2025,Yes,Arrived,11/10/2025
ZL25101401,Jesus Muro,10/14/2025,Pallet Jack Scale,EV7782,All areas,All areas,Microprecision,Monolithlot,MTF2000,,Approved,Maintenance,1,5412.61,5412.61,6278.62,295,342.2,Kevin,10/14/2025,Yes,Arrived,11/24/2025
ZL25101402,Jesus Muro,10/14/2025,Pallet Jack Scale,EV7784,All areas,All areas,Microprecision,Monolithlot,MTF2000,,Approved,Maintenance,1,5412.61,5412.61,6278.62,295,342.2,Kevin,10/14/2025,Yes,Arrived,11/24/2025
ZL25101403,Jesus Muro,10/14/2025,Pallet Jack Scale,EV7785,All areas,All areas,Microprecision,Monolithlot,MTF2000,,Approved,Maintenance,1,5412.61,5412.61,6278.62,295,342.2,Kevin,10/14/2025,Yes,Arrived,11/24/2025
ZL25101404,Jesus Muro,10/14/2025,Pallet Jack Scale,EV7786,All areas,All areas,Microprecision,Monolithlot,MTF2000,,Approved,Maintenance,1,5412.61,5412.61,6278.62,295,342.2,Kevin,10/14/2025,Yes,Arrived,11/24/2025
ZL25101405,Jesus Muro,10/14/2025,Pallet Jack Scale,EV7787,All areas,All areas,Microprecision,Monolithlot,MTF2000,,Approved,Maintenance,1,5412.61,5412.61,6278.62,295,342.2,Kevin,10/14/2025,Yes,Arrived,11/24/2025
ZL25110301,Jesus Muro,11/03/2025,CABLE METER,30189,All areas,All areas,Microprecision,EMKO,EZM-4931,,Approved,Maintenance,1,#REF!,#REF!,#REF!,165,191.4,Kevin,03/11/2025,Yes,Arrived,11/24/2025
ZL25110302,Jesus Muro,11/03/2025,CABLE METER,DH5928,All areas,All areas,Microprecision,EMKO,EZM-4931,,Approved,Maintenance,1,#REF!,#REF!,#REF!,165,191.4,Kevin,03/11/2025,Yes,Arrived,11/24/2025
ZL25110303,Jesus Muro,11/03/2025,SCALE,DP7251,All areas,All areas,Microprecision,INTERTEK,IT3,,Approved,Maintenance,1,#REF!,#REF!,#REF!,295,342.2,Kevin,03/11/2025,Yes,Arrived,11/24/2025
ZL25110304,Jesus Muro,11/03/2025,SCALE,DP7252,All areas,All areas,Microprecision,ETI,IT3,,Approved,Maintenance,1,#REF!,#REF!,#REF!,295,342.2,Kevin,03/11/2025,Yes,Arrived,11/24/2025
ZL25110305,Jesus Muro,11/03/2025,CABLE METER,DT1348,All areas,All areas,Microprecision,COPOSE,N/A,,Approved,Maintenance,1,#REF!,#REF!,#REF!,165,191.4,Kevin,03/11/2025,Yes,Arrived,11/24/2025
ZL25110306,Jesus Muro,11/03/2025,SCALE,EG3410,All areas,All areas,Microprecision,MONOLITHLOT,DWS6080,,Approved,Maintenance,1,#REF!,#REF!,#REF!,185,214.6,Kevin,03/11/2025,Yes,Arrived,11/24/2025
ZL25110307,Jesus Muro,11/03/2025,SCALE,EG3411,All areas,All areas,Microprecision,MONOLITHLOT,DWS6080,,Approved,Maintenance,1,#REF!,#REF!,#REF!,185,214.6,Kevin,03/11/2025,Yes,Arrived,11/24/2025
ZL25110308,Jesus Muro,11/03/2025,SCALE,DP7252B,All areas,All areas,Microprecision,ETI,IT3,,Approved,Maintenance,1,#REF!,#REF!,#REF!,295,342.2,Kevin,03/11/2025,Yes,Arrived,11/24/2025
ZL25110309,Jesus Muro,11/03/2025,GROUND BOND TESTER,18610,All areas,All areas,Microprecision,QUADTECH,G1050,,Approved,Maintenance,1,#REF!,#REF!,#REF!,285,330.6,Kevin,03/11/2025,Yes,In process,
ZL25110310,Jesus Muro,11/03/2025,Optical Power Meter,EV8003,All areas,All areas,Microprecision,LINKEDPRO BY EPCOM,DXP-50D,,Approved,Maintenance,1,#REF!,#REF!,#REF!,195,226.2,Kevin,03/11/2025,Yes,In process,
ZL25111301,Jonas Navarro,11/13/2025,Cable cutting maintenance,NA,Cable Cutting,WH,MACI,n/a,n/a,,Approved,Maintenance,1,29900,29900,34684,#REF!,#REF!,Kevin,11/14/2025,Yes,In process,
ZL25111302,Jonas Navarro,11/13/2025,Wifi flexometer,N/A,POC,Weight & sizes,"Monolith Electric (Changzhou) Co.,Ltd.",Monolith Electric,MIT-2033,,Approved,New,2,#REF!,#REF!,#REF!,591.38,1372.0016,Kevin,11/14/2025,Yes,In process,
ZL25111303,Jonas Navarro,11/13/2025,Ruler spare parts,N/A,POC,Maintenance,"Monolith Electric (Changzhou) Co.,Ltd.",Monolith Electric,MIT-2033,,Approved,New,15,#REF!,#REF!,#REF!,8.62,149.988,Kevin,11/14/2025,Yes,In process,
ZL25111304,Jonas Navarro,11/13/2025,Shipping cost by air,N/A,N/A,Maintenance,"Monolith Electric (Changzhou) Co.,Ltd.",Monolith Electric,MIT-2033,,Approved,New,1,#REF!,#REF!,#REF!,103.45,120.002,Kevin,11/14/2025,Yes,In process,
ZL25120101,Cesar Gutierrez,12/01/2025,Tape dispensser,H-165,POC,Replace,ULINE,ULINE,"4""",,Pending,New,4,814,3256,3776.96,,,,,,,
ZL25120102,Cesar Gutierrez,12/01/2025,Stretch Film Dispenser,H-1588,Shipping,Replace,ULINE,ULINE,"PAR, 3"" core",,Pending,New,3,374,1122,1301.52,,,,,,,
ZL25120103,Cesar Gutierrez,12/01/2025,Shipping cost for ZL25120101 & ZL25120102,N/A,N/A,N/A,ULINE,ULINE,N/A,,Pending,Service,1,223.74,223.74,259.5384,,,,,,,
ZL25120104,Cesar Gutierrez,12/01/2025,Cutter knife replacement,"U1-
REPCUTF8",All areas,All areas,Inkar,Surtek,"U1-
REPCUTF8",,Pending,New,10,21.6,216,250.56,,,,,,,
ZL25120105,Cesar Gutierrez,12/01/2025,Clutting pliers 9,U1-289G ,Warehouse,Cable cutting,Inkar,Urrea,U1-289G ,,Pending,New,5,412,2060,2389.6,,,,,,,
ZL25120106,Cesar Gutierrez,12/01/2025,Electric cutting pliers,U1-170M,ATO,Routing,Inkar,Urrea,U1-170M,,Pending,New,5,168,840,974.4,,,,,,,
